"","SYMBOL","ENSEMBL","gene"
"TIPRL","TIPRL","ENSG00000143155","TIPRL"
"TIRAP","TIRAP","ENSG00000150455","TIRAP"
"TJAP1","TJAP1","ENSG00000137221","TJAP1"
"TJP1","TJP1","ENSG00000104067","TJP1"
"TJP2","TJP2","ENSG00000119139","TJP2"
"TJP3","TJP3","ENSG00000105289","TJP3"
"TK1","TK1","ENSG00000167900","TK1"
"TK2","TK2","ENSG00000166548","TK2"
"TKFC","TKFC","ENSG00000149476","TKFC"
"TKT","TKT","ENSG00000163931","TKT"
"TKTL1","TKTL1","ENSG00000007350","TKTL1"
"TKTL2","TKTL2","ENSG00000151005","TKTL2"
"TLCD1","TLCD1","ENSG00000160606","TLCD1"
"TLCD2","TLCD2","ENSG00000185561","TLCD2"
"TLCD3A","TLCD3A","ENSG00000167695","TLCD3A"
"TLCD3B","TLCD3B","ENSG00000149926","TLCD3B"
"TLCD4","TLCD4","ENSG00000152078","TLCD4"
"TLCD5","TLCD5","ENSG00000181264","TLCD5"
"TLDC2","TLDC2","ENSG00000101342","TLDC2"
"TLE1","TLE1","ENSG00000196781","TLE1"
"TLE2","TLE2","ENSG00000065717","TLE2"
"TLE3","TLE3","ENSG00000140332","TLE3"
"TLE4","TLE4","ENSG00000106829","TLE4"
"TLE5","TLE5","ENSG00000104964","TLE5"
"TLE6","TLE6","ENSG00000104953","TLE6"
"TLE7","TLE7","ENSG00000260734","TLE7"
"TLK1","TLK1","ENSG00000198586","TLK1"
"TLK2","TLK2","ENSG00000146872","TLK2"
"TLL1","TLL1","ENSG00000038295","TLL1"
"TLL2","TLL2","ENSG00000095587","TLL2"
"TLN1","TLN1","ENSG00000137076","TLN1"
"TLN2","TLN2","ENSG00000171914","TLN2"
"TLNRD1","TLNRD1","ENSG00000140406","TLNRD1"
"TLR1","TLR1","ENSG00000174125","TLR1"
"TLR10","TLR10","ENSG00000174123","TLR10"
"TLR2","TLR2","ENSG00000137462","TLR2"
"TLR3","TLR3","ENSG00000164342","TLR3"
"TLR4","TLR4","ENSG00000136869","TLR4"
"TLR5","TLR5","ENSG00000187554","TLR5"
"TLR6","TLR6","ENSG00000174130","TLR6"
"TLR7","TLR7","ENSG00000196664","TLR7"
"TLR8","TLR8","ENSG00000101916","TLR8"
"TLR8-AS1","TLR8-AS1","ENSG00000233338","TLR8-AS1"
"TLR9","TLR9","ENSG00000239732","TLR9"
"TLX1","TLX1","ENSG00000107807","TLX1"
"TLX1NB","TLX1NB","ENSG00000236311","TLX1NB"
"TLX2","TLX2","ENSG00000115297","TLX2"
"TLX3","TLX3","ENSG00000164438","TLX3"
"TM2D1","TM2D1","ENSG00000162604","TM2D1"
"TM2D2","TM2D2","ENSG00000169490","TM2D2"
"TM2D3","TM2D3","ENSG00000184277","TM2D3"
"TM4SF1","TM4SF1","ENSG00000169908","TM4SF1"
"TM4SF1-AS1","TM4SF1-AS1","ENSG00000240541","TM4SF1-AS1"
"TM4SF18","TM4SF18","ENSG00000163762","TM4SF18"
"TM4SF19","TM4SF19","ENSG00000145107","TM4SF19"
"TM4SF19-AS1","TM4SF19-AS1","ENSG00000235897","TM4SF19-AS1"
"TM4SF20","TM4SF20","ENSG00000168955","TM4SF20"
"TM4SF4","TM4SF4","ENSG00000169903","TM4SF4"
"TM4SF5","TM4SF5","ENSG00000142484","TM4SF5"
"TM6SF1","TM6SF1","ENSG00000136404","TM6SF1"
"TM6SF2","TM6SF2","ENSG00000213996","TM6SF2"
"TM7SF2","TM7SF2","ENSG00000149809","TM7SF2"
"TM7SF3","TM7SF3","ENSG00000064115","TM7SF3"
"TM9SF1","TM9SF1","ENSG00000100926","TM9SF1"
"TM9SF2","TM9SF2","ENSG00000125304","TM9SF2"
"TM9SF3","TM9SF3","ENSG00000077147","TM9SF3"
"TM9SF4","TM9SF4","ENSG00000101337","TM9SF4"
"TMA16","TMA16","ENSG00000198498","TMA16"
"TMA7","TMA7","ENSG00000232112","TMA7"
"TMBIM1","TMBIM1","ENSG00000135926","TMBIM1"
"TMBIM4","TMBIM4","ENSG00000155957","TMBIM4"
"TMBIM6","TMBIM6","ENSG00000139644","TMBIM6"
"TMC1","TMC1","ENSG00000165091","TMC1"
"TMC2","TMC2","ENSG00000149488","TMC2"
"TMC3","TMC3","ENSG00000188869","TMC3"
"TMC4","TMC4","ENSG00000167608","TMC4"
"TMC5","TMC5","ENSG00000103534","TMC5"
"TMC6","TMC6","ENSG00000141524","TMC6"
"TMC7","TMC7","ENSG00000170537","TMC7"
"TMC8","TMC8","ENSG00000167895","TMC8"
"TMCC1","TMCC1","ENSG00000172765","TMCC1"
"TMCC1-AS1","TMCC1-AS1","ENSG00000271270","TMCC1-AS1"
"TMCC2","TMCC2","ENSG00000133069","TMCC2"
"TMCC3","TMCC3","ENSG00000057704","TMCC3"
"TMCO1","TMCO1","ENSG00000143183","TMCO1"
"TMCO2","TMCO2","ENSG00000188800","TMCO2"
"TMCO3","TMCO3","ENSG00000150403","TMCO3"
"TMCO4","TMCO4","ENSG00000162542","TMCO4"
"TMCO5A","TMCO5A","ENSG00000166069","TMCO5A"
"TMCO6","TMCO6","ENSG00000113119","TMCO6"
"TMED1","TMED1","ENSG00000099203","TMED1"
"TMED10","TMED10","ENSG00000170348","TMED10"
"TMED2","TMED2","ENSG00000086598","TMED2"
"TMED3","TMED3","ENSG00000166557","TMED3"
"TMED4","TMED4","ENSG00000158604","TMED4"
"TMED5","TMED5","ENSG00000117500","TMED5"
"TMED6","TMED6","ENSG00000157315","TMED6"
"TMED7","TMED7","ENSG00000134970","TMED7"
"TMED8","TMED8","ENSG00000100580","TMED8"
"TMED9","TMED9","ENSG00000184840","TMED9"
"TMEFF1","TMEFF1","ENSG00000241697","TMEFF1"
"TMEFF2","TMEFF2","ENSG00000144339","TMEFF2"
"TMEM100","TMEM100","ENSG00000166292","TMEM100"
"TMEM101","TMEM101","ENSG00000091947","TMEM101"
"TMEM102","TMEM102","ENSG00000181284","TMEM102"
"TMEM104","TMEM104","ENSG00000109066","TMEM104"
"TMEM106A","TMEM106A","ENSG00000184988","TMEM106A"
"TMEM106B","TMEM106B","ENSG00000106460","TMEM106B"
"TMEM106C","TMEM106C","ENSG00000134291","TMEM106C"
"TMEM107","TMEM107","ENSG00000179029","TMEM107"
"TMEM108","TMEM108","ENSG00000144868","TMEM108"
"TMEM109","TMEM109","ENSG00000110108","TMEM109"
"TMEM11","TMEM11","ENSG00000178307","TMEM11"
"TMEM114","TMEM114","ENSG00000232258","TMEM114"
"TMEM115","TMEM115","ENSG00000126062","TMEM115"
"TMEM116","TMEM116","ENSG00000198270","TMEM116"
"TMEM117","TMEM117","ENSG00000139173","TMEM117"
"TMEM119","TMEM119","ENSG00000183160","TMEM119"
"TMEM120A","TMEM120A","ENSG00000189077","TMEM120A"
"TMEM120B","TMEM120B","ENSG00000188735","TMEM120B"
"TMEM121","TMEM121","ENSG00000184986","TMEM121"
"TMEM121B","TMEM121B","ENSG00000183307","TMEM121B"
"TMEM123","TMEM123","ENSG00000152558","TMEM123"
"TMEM125","TMEM125","ENSG00000179178","TMEM125"
"TMEM126A","TMEM126A","ENSG00000171202","TMEM126A"
"TMEM126B","TMEM126B","ENSG00000171204","TMEM126B"
"TMEM127","TMEM127","ENSG00000135956","TMEM127"
"TMEM128","TMEM128","ENSG00000132406","TMEM128"
"TMEM129","TMEM129","ENSG00000168936","TMEM129"
"TMEM130","TMEM130","ENSG00000166448","TMEM130"
"TMEM131","TMEM131","ENSG00000075568","TMEM131"
"TMEM131L","TMEM131L","ENSG00000121210","TMEM131L"
"TMEM132A","TMEM132A","ENSG00000006118","TMEM132A"
"TMEM132B","TMEM132B","ENSG00000139364","TMEM132B"
"TMEM132C","TMEM132C","ENSG00000181234","TMEM132C"
"TMEM132D","TMEM132D","ENSG00000151952","TMEM132D"
"TMEM132D-AS1","TMEM132D-AS1","ENSG00000249196","TMEM132D-AS1"
"TMEM132D-AS2","TMEM132D-AS2","ENSG00000256699","TMEM132D-AS2"
"TMEM132E","TMEM132E","ENSG00000181291","TMEM132E"
"TMEM134","TMEM134","ENSG00000172663","TMEM134"
"TMEM135","TMEM135","ENSG00000166575","TMEM135"
"TMEM138","TMEM138","ENSG00000149483","TMEM138"
"TMEM139","TMEM139","ENSG00000178826","TMEM139"
"TMEM140","TMEM140","ENSG00000146859","TMEM140"
"TMEM141","TMEM141","ENSG00000244187","TMEM141"
"TMEM143","TMEM143","ENSG00000161558","TMEM143"
"TMEM144","TMEM144","ENSG00000164124","TMEM144"
"TMEM145","TMEM145","ENSG00000167619","TMEM145"
"TMEM147","TMEM147","ENSG00000105677","TMEM147"
"TMEM147-AS1","TMEM147-AS1","ENSG00000236144","TMEM147-AS1"
"TMEM14A","TMEM14A","ENSG00000096092","TMEM14A"
"TMEM14B","TMEM14B","ENSG00000137210","TMEM14B"
"TMEM14C","TMEM14C","ENSG00000111843","TMEM14C"
"TMEM150A","TMEM150A","ENSG00000168890","TMEM150A"
"TMEM150B","TMEM150B","ENSG00000180061","TMEM150B"
"TMEM150C","TMEM150C","ENSG00000249242","TMEM150C"
"TMEM151A","TMEM151A","ENSG00000179292","TMEM151A"
"TMEM151B","TMEM151B","ENSG00000178233","TMEM151B"
"TMEM154","TMEM154","ENSG00000170006","TMEM154"
"TMEM156","TMEM156","ENSG00000121895","TMEM156"
"TMEM158","TMEM158","ENSG00000249992","TMEM158"
"TMEM159","TMEM159","ENSG00000011638","TMEM159"
"TMEM160","TMEM160","ENSG00000130748","TMEM160"
"TMEM161A","TMEM161A","ENSG00000064545","TMEM161A"
"TMEM161B","TMEM161B","ENSG00000164180","TMEM161B"
"TMEM161B-AS1","TMEM161B-AS1","ENSG00000247828","TMEM161B-AS1"
"TMEM163","TMEM163","ENSG00000152128","TMEM163"
"TMEM164","TMEM164","ENSG00000157600","TMEM164"
"TMEM165","TMEM165","ENSG00000134851","TMEM165"
"TMEM167A","TMEM167A","ENSG00000174695","TMEM167A"
"TMEM167B","TMEM167B","ENSG00000215717","TMEM167B"
"TMEM168","TMEM168","ENSG00000146802","TMEM168"
"TMEM169","TMEM169","ENSG00000163449","TMEM169"
"TMEM17","TMEM17","ENSG00000186889","TMEM17"
"TMEM170A","TMEM170A","ENSG00000166822","TMEM170A"
"TMEM170B","TMEM170B","ENSG00000205269","TMEM170B"
"TMEM171","TMEM171","ENSG00000157111","TMEM171"
"TMEM174","TMEM174","ENSG00000164325","TMEM174"
"TMEM175","TMEM175","ENSG00000127419","TMEM175"
"TMEM176A","TMEM176A","ENSG00000002933","TMEM176A"
"TMEM176B","TMEM176B","ENSG00000106565","TMEM176B"
"TMEM177","TMEM177","ENSG00000144120","TMEM177"
"TMEM178A","TMEM178A","ENSG00000152154","TMEM178A"
"TMEM178B","TMEM178B","ENSG00000261115","TMEM178B"
"TMEM179","TMEM179","ENSG00000258986","TMEM179"
"TMEM179B","TMEM179B","ENSG00000185475","TMEM179B"
"TMEM18","TMEM18","ENSG00000151353","TMEM18"
"TMEM181","TMEM181","ENSG00000146433","TMEM181"
"TMEM182","TMEM182","ENSG00000170417","TMEM182"
"TMEM183A","TMEM183A","ENSG00000163444","TMEM183A"
"TMEM184A","TMEM184A","ENSG00000164855","TMEM184A"
"TMEM184B","TMEM184B","ENSG00000198792","TMEM184B"
"TMEM184C","TMEM184C","ENSG00000164168","TMEM184C"
"TMEM185A","TMEM185A","ENSG00000269556","TMEM185A"
"TMEM185B","TMEM185B","ENSG00000226479","TMEM185B"
"TMEM186","TMEM186","ENSG00000184857","TMEM186"
"TMEM187","TMEM187","ENSG00000177854","TMEM187"
"TMEM19","TMEM19","ENSG00000139291","TMEM19"
"TMEM190","TMEM190","ENSG00000160472","TMEM190"
"TMEM191B","TMEM191B","ENSG00000278558","TMEM191B"
"TMEM191C","TMEM191C","ENSG00000206140","TMEM191C"
"TMEM192","TMEM192","ENSG00000170088","TMEM192"
"TMEM196","TMEM196","ENSG00000173452","TMEM196"
"TMEM198","TMEM198","ENSG00000188760","TMEM198"
"TMEM199","TMEM199","ENSG00000244045","TMEM199"
"TMEM200A","TMEM200A","ENSG00000164484","TMEM200A"
"TMEM200B","TMEM200B","ENSG00000253304","TMEM200B"
"TMEM200C","TMEM200C","ENSG00000206432","TMEM200C"
"TMEM201","TMEM201","ENSG00000188807","TMEM201"
"TMEM202","TMEM202","ENSG00000187806","TMEM202"
"TMEM202-AS1","TMEM202-AS1","ENSG00000261423","TMEM202-AS1"
"TMEM203","TMEM203","ENSG00000187713","TMEM203"
"TMEM204","TMEM204","ENSG00000131634","TMEM204"
"TMEM205","TMEM205","ENSG00000105518","TMEM205"
"TMEM207","TMEM207","ENSG00000198398","TMEM207"
"TMEM208","TMEM208","ENSG00000168701","TMEM208"
"TMEM209","TMEM209","ENSG00000146842","TMEM209"
"TMEM210","TMEM210","ENSG00000185863","TMEM210"
"TMEM211","TMEM211","ENSG00000206069","TMEM211"
"TMEM212","TMEM212","ENSG00000186329","TMEM212"
"TMEM213","TMEM213","ENSG00000214128","TMEM213"
"TMEM214","TMEM214","ENSG00000119777","TMEM214"
"TMEM215","TMEM215","ENSG00000188133","TMEM215"
"TMEM216","TMEM216","ENSG00000187049","TMEM216"
"TMEM217","TMEM217","ENSG00000172738","TMEM217"
"TMEM218","TMEM218","ENSG00000150433","TMEM218"
"TMEM219","TMEM219","ENSG00000149932","TMEM219"
"TMEM220","TMEM220","ENSG00000187824","TMEM220"
"TMEM220-AS1","TMEM220-AS1","ENSG00000263400","TMEM220-AS1"
"TMEM221","TMEM221","ENSG00000188051","TMEM221"
"TMEM222","TMEM222","ENSG00000186501","TMEM222"
"TMEM223","TMEM223","ENSG00000168569","TMEM223"
"TMEM225","TMEM225","ENSG00000204300","TMEM225"
"TMEM225B","TMEM225B","ENSG00000244219","TMEM225B"
"TMEM229A","TMEM229A","ENSG00000234224","TMEM229A"
"TMEM229B","TMEM229B","ENSG00000198133","TMEM229B"
"TMEM230","TMEM230","ENSG00000089063","TMEM230"
"TMEM231","TMEM231","ENSG00000205084","TMEM231"
"TMEM232","TMEM232","ENSG00000186952","TMEM232"
"TMEM233","TMEM233","ENSG00000224982","TMEM233"
"TMEM234","TMEM234","ENSG00000160055","TMEM234"
"TMEM235","TMEM235","ENSG00000204278","TMEM235"
"TMEM236","TMEM236","ENSG00000148483","TMEM236"
"TMEM237","TMEM237","ENSG00000155755","TMEM237"
"TMEM238","TMEM238","ENSG00000233493","TMEM238"
"TMEM238L","TMEM238L","ENSG00000263429","TMEM238L"
"TMEM239","TMEM239","ENSG00000198326","TMEM239"
"TMEM240","TMEM240","ENSG00000205090","TMEM240"
"TMEM241","TMEM241","ENSG00000134490","TMEM241"
"TMEM242","TMEM242","ENSG00000215712","TMEM242"
"TMEM243","TMEM243","ENSG00000135185","TMEM243"
"TMEM244","TMEM244","ENSG00000203756","TMEM244"
"TMEM245","TMEM245","ENSG00000106771","TMEM245"
"TMEM246-AS1","TMEM246-AS1","ENSG00000225376","TMEM246-AS1"
"TMEM247","TMEM247","ENSG00000284701","TMEM247"
"TMEM248","TMEM248","ENSG00000106609","TMEM248"
"TMEM249","TMEM249","ENSG00000261587","TMEM249"
"TMEM25","TMEM25","ENSG00000149582","TMEM25"
"TMEM250","TMEM250","ENSG00000238227","TMEM250"
"TMEM251","TMEM251","ENSG00000153485","TMEM251"
"TMEM252","TMEM252","ENSG00000181778","TMEM252"
"TMEM252-DT","TMEM252-DT","ENSG00000226337","TMEM252-DT"
"TMEM253","TMEM253","ENSG00000232070","TMEM253"
"TMEM254","TMEM254","ENSG00000133678","TMEM254"
"TMEM255A","TMEM255A","ENSG00000125355","TMEM255A"
"TMEM255B","TMEM255B","ENSG00000184497","TMEM255B"
"TMEM256","TMEM256","ENSG00000205544","TMEM256"
"TMEM258","TMEM258","ENSG00000134825","TMEM258"
"TMEM259","TMEM259","ENSG00000182087","TMEM259"
"TMEM26","TMEM26","ENSG00000196932","TMEM26"
"TMEM260","TMEM260","ENSG00000070269","TMEM260"
"TMEM262","TMEM262","ENSG00000187066","TMEM262"
"TMEM263","TMEM263","ENSG00000151135","TMEM263"
"TMEM265","TMEM265","ENSG00000281991","TMEM265"
"TMEM266","TMEM266","ENSG00000169758","TMEM266"
"TMEM267","TMEM267","ENSG00000151881","TMEM267"
"TMEM268","TMEM268","ENSG00000157693","TMEM268"
"TMEM269","TMEM269","ENSG00000274386","TMEM269"
"TMEM270","TMEM270","ENSG00000175877","TMEM270"
"TMEM271","TMEM271","ENSG00000273238","TMEM271"
"TMEM272","TMEM272","ENSG00000281106","TMEM272"
"TMEM273","TMEM273","ENSG00000204161","TMEM273"
"TMEM275","TMEM275","ENSG00000282881","TMEM275"
"TMEM30A","TMEM30A","ENSG00000112697","TMEM30A"
"TMEM30B","TMEM30B","ENSG00000182107","TMEM30B"
"TMEM31","TMEM31","ENSG00000179363","TMEM31"
"TMEM33","TMEM33","ENSG00000109133","TMEM33"
"TMEM35A","TMEM35A","ENSG00000126950","TMEM35A"
"TMEM35B","TMEM35B","ENSG00000243749","TMEM35B"
"TMEM37","TMEM37","ENSG00000171227","TMEM37"
"TMEM38A","TMEM38A","ENSG00000072954","TMEM38A"
"TMEM38B","TMEM38B","ENSG00000095209","TMEM38B"
"TMEM39A","TMEM39A","ENSG00000176142","TMEM39A"
"TMEM39B","TMEM39B","ENSG00000121775","TMEM39B"
"TMEM40","TMEM40","ENSG00000088726","TMEM40"
"TMEM41A","TMEM41A","ENSG00000163900","TMEM41A"
"TMEM41B","TMEM41B","ENSG00000166471","TMEM41B"
"TMEM42","TMEM42","ENSG00000169964","TMEM42"
"TMEM43","TMEM43","ENSG00000170876","TMEM43"
"TMEM44","TMEM44","ENSG00000145014","TMEM44"
"TMEM45A","TMEM45A","ENSG00000181458","TMEM45A"
"TMEM45B","TMEM45B","ENSG00000151715","TMEM45B"
"TMEM47","TMEM47","ENSG00000147027","TMEM47"
"TMEM50A","TMEM50A","ENSG00000183726","TMEM50A"
"TMEM50B","TMEM50B","ENSG00000142188","TMEM50B"
"TMEM51","TMEM51","ENSG00000171729","TMEM51"
"TMEM51-AS1","TMEM51-AS1","ENSG00000175147","TMEM51-AS1"
"TMEM52","TMEM52","ENSG00000178821","TMEM52"
"TMEM52B","TMEM52B","ENSG00000165685","TMEM52B"
"TMEM53","TMEM53","ENSG00000126106","TMEM53"
"TMEM54","TMEM54","ENSG00000121900","TMEM54"
"TMEM59","TMEM59","ENSG00000116209","TMEM59"
"TMEM59L","TMEM59L","ENSG00000105696","TMEM59L"
"TMEM60","TMEM60","ENSG00000135211","TMEM60"
"TMEM61","TMEM61","ENSG00000143001","TMEM61"
"TMEM62","TMEM62","ENSG00000137842","TMEM62"
"TMEM63A","TMEM63A","ENSG00000196187","TMEM63A"
"TMEM63B","TMEM63B","ENSG00000137216","TMEM63B"
"TMEM63C","TMEM63C","ENSG00000165548","TMEM63C"
"TMEM64","TMEM64","ENSG00000180694","TMEM64"
"TMEM65","TMEM65","ENSG00000164983","TMEM65"
"TMEM67","TMEM67","ENSG00000164953","TMEM67"
"TMEM68","TMEM68","ENSG00000167904","TMEM68"
"TMEM69","TMEM69","ENSG00000159596","TMEM69"
"TMEM70","TMEM70","ENSG00000175606","TMEM70"
"TMEM71","TMEM71","ENSG00000165071","TMEM71"
"TMEM72","TMEM72","ENSG00000187783","TMEM72"
"TMEM72-AS1","TMEM72-AS1","ENSG00000224812","TMEM72-AS1"
"TMEM74","TMEM74","ENSG00000164841","TMEM74"
"TMEM74B","TMEM74B","ENSG00000125895","TMEM74B"
"TMEM79","TMEM79","ENSG00000163472","TMEM79"
"TMEM80","TMEM80","ENSG00000177042","TMEM80"
"TMEM81","TMEM81","ENSG00000174529","TMEM81"
"TMEM82","TMEM82","ENSG00000162460","TMEM82"
"TMEM86A","TMEM86A","ENSG00000151117","TMEM86A"
"TMEM86B","TMEM86B","ENSG00000180089","TMEM86B"
"TMEM87A","TMEM87A","ENSG00000103978","TMEM87A"
"TMEM87B","TMEM87B","ENSG00000153214","TMEM87B"
"TMEM88","TMEM88","ENSG00000167874","TMEM88"
"TMEM88B","TMEM88B","ENSG00000205116","TMEM88B"
"TMEM89","TMEM89","ENSG00000183396","TMEM89"
"TMEM8B","TMEM8B","ENSG00000137103","TMEM8B"
"TMEM9","TMEM9","ENSG00000116857","TMEM9"
"TMEM91","TMEM91","ENSG00000142046","TMEM91"
"TMEM92","TMEM92","ENSG00000167105","TMEM92"
"TMEM92-AS1","TMEM92-AS1","ENSG00000251179","TMEM92-AS1"
"TMEM94","TMEM94","ENSG00000177728","TMEM94"
"TMEM95","TMEM95","ENSG00000182896","TMEM95"
"TMEM97","TMEM97","ENSG00000109084","TMEM97"
"TMEM98","TMEM98","ENSG00000006042","TMEM98"
"TMEM99","TMEM99","ENSG00000167920","TMEM99"
"TMEM9B","TMEM9B","ENSG00000175348","TMEM9B"
"TMEM9B-AS1","TMEM9B-AS1","ENSG00000254860","TMEM9B-AS1"
"TMF1","TMF1","ENSG00000144747","TMF1"
"TMIE","TMIE","ENSG00000181585","TMIE"
"TMIGD1","TMIGD1","ENSG00000182271","TMIGD1"
"TMIGD2","TMIGD2","ENSG00000167664","TMIGD2"
"TMIGD3","TMIGD3","ENSG00000121933","TMIGD3"
"TMLHE","TMLHE","ENSG00000185973","TMLHE"
"TMLHE-AS1","TMLHE-AS1","ENSG00000224533","TMLHE-AS1"
"TMOD1","TMOD1","ENSG00000136842","TMOD1"
"TMOD2","TMOD2","ENSG00000128872","TMOD2"
"TMOD3","TMOD3","ENSG00000138594","TMOD3"
"TMOD4","TMOD4","ENSG00000163157","TMOD4"
"TMPO","TMPO","ENSG00000120802","TMPO"
"TMPO-AS1","TMPO-AS1","ENSG00000257167","TMPO-AS1"
"TMPPE","TMPPE","ENSG00000188167","TMPPE"
"TMPRSS11A","TMPRSS11A","ENSG00000187054","TMPRSS11A"
"TMPRSS11B","TMPRSS11B","ENSG00000185873","TMPRSS11B"
"TMPRSS11D","TMPRSS11D","ENSG00000153802","TMPRSS11D"
"TMPRSS11E","TMPRSS11E","ENSG00000087128","TMPRSS11E"
"TMPRSS11F","TMPRSS11F","ENSG00000198092","TMPRSS11F"
"TMPRSS12","TMPRSS12","ENSG00000186452","TMPRSS12"
"TMPRSS13","TMPRSS13","ENSG00000137747","TMPRSS13"
"TMPRSS15","TMPRSS15","ENSG00000154646","TMPRSS15"
"TMPRSS2","TMPRSS2","ENSG00000184012","TMPRSS2"
"TMPRSS3","TMPRSS3","ENSG00000160183","TMPRSS3"
"TMPRSS4","TMPRSS4","ENSG00000137648","TMPRSS4"
"TMPRSS5","TMPRSS5","ENSG00000166682","TMPRSS5"
"TMPRSS6","TMPRSS6","ENSG00000187045","TMPRSS6"
"TMPRSS7","TMPRSS7","ENSG00000176040","TMPRSS7"
"TMPRSS9","TMPRSS9","ENSG00000178297","TMPRSS9"
"TMSB10","TMSB10","ENSG00000034510","TMSB10"
"TMSB15A","TMSB15A","ENSG00000158164","TMSB15A"
"TMSB15B","TMSB15B","ENSG00000158427","TMSB15B"
"TMSB4X","TMSB4X","ENSG00000205542","TMSB4X"
"TMSB4Y","TMSB4Y","ENSG00000154620","TMSB4Y"
"TMTC1","TMTC1","ENSG00000133687","TMTC1"
"TMTC2","TMTC2","ENSG00000179104","TMTC2"
"TMTC3","TMTC3","ENSG00000139324","TMTC3"
"TMTC4","TMTC4","ENSG00000125247","TMTC4"
"TMUB1","TMUB1","ENSG00000164897","TMUB1"
"TMUB2","TMUB2","ENSG00000168591","TMUB2"
"TMX1","TMX1","ENSG00000139921","TMX1"
"TMX2","TMX2","ENSG00000213593","TMX2"
"TMX3","TMX3","ENSG00000166479","TMX3"
"TMX4","TMX4","ENSG00000125827","TMX4"
"TNC","TNC","ENSG00000041982","TNC"
"TNF","TNF","ENSG00000232810","TNF"
"TNFAIP1","TNFAIP1","ENSG00000109079","TNFAIP1"
"TNFAIP2","TNFAIP2","ENSG00000185215","TNFAIP2"
"TNFAIP3","TNFAIP3","ENSG00000118503","TNFAIP3"
"TNFAIP6","TNFAIP6","ENSG00000123610","TNFAIP6"
"TNFAIP8","TNFAIP8","ENSG00000145779","TNFAIP8"
"TNFAIP8L1","TNFAIP8L1","ENSG00000185361","TNFAIP8L1"
"TNFAIP8L2","TNFAIP8L2","ENSG00000163154","TNFAIP8L2"
"TNFAIP8L3","TNFAIP8L3","ENSG00000183578","TNFAIP8L3"
"TNFRSF10A","TNFRSF10A","ENSG00000104689","TNFRSF10A"
"TNFRSF10B","TNFRSF10B","ENSG00000120889","TNFRSF10B"
"TNFRSF10C","TNFRSF10C","ENSG00000173535","TNFRSF10C"
"TNFRSF10D","TNFRSF10D","ENSG00000173530","TNFRSF10D"
"TNFRSF11A","TNFRSF11A","ENSG00000141655","TNFRSF11A"
"TNFRSF11B","TNFRSF11B","ENSG00000164761","TNFRSF11B"
"TNFRSF12A","TNFRSF12A","ENSG00000006327","TNFRSF12A"
"TNFRSF13B","TNFRSF13B","ENSG00000240505","TNFRSF13B"
"TNFRSF13C","TNFRSF13C","ENSG00000159958","TNFRSF13C"
"TNFRSF14","TNFRSF14","ENSG00000157873","TNFRSF14"
"TNFRSF17","TNFRSF17","ENSG00000048462","TNFRSF17"
"TNFRSF18","TNFRSF18","ENSG00000186891","TNFRSF18"
"TNFRSF19","TNFRSF19","ENSG00000127863","TNFRSF19"
"TNFRSF1A","TNFRSF1A","ENSG00000067182","TNFRSF1A"
"TNFRSF1B","TNFRSF1B","ENSG00000028137","TNFRSF1B"
"TNFRSF21","TNFRSF21","ENSG00000146072","TNFRSF21"
"TNFRSF25","TNFRSF25","ENSG00000215788","TNFRSF25"
"TNFRSF4","TNFRSF4","ENSG00000186827","TNFRSF4"
"TNFRSF6B","TNFRSF6B","ENSG00000243509","TNFRSF6B"
"TNFRSF8","TNFRSF8","ENSG00000120949","TNFRSF8"
"TNFRSF9","TNFRSF9","ENSG00000049249","TNFRSF9"
"TNFSF10","TNFSF10","ENSG00000121858","TNFSF10"
"TNFSF11","TNFSF11","ENSG00000120659","TNFSF11"
"TNFSF12","TNFSF12","ENSG00000239697","TNFSF12"
"TNFSF13","TNFSF13","ENSG00000161955","TNFSF13"
"TNFSF13B","TNFSF13B","ENSG00000102524","TNFSF13B"
"TNFSF14","TNFSF14","ENSG00000125735","TNFSF14"
"TNFSF15","TNFSF15","ENSG00000181634","TNFSF15"
"TNFSF18","TNFSF18","ENSG00000120337","TNFSF18"
"TNFSF4","TNFSF4","ENSG00000117586","TNFSF4"
"TNFSF8","TNFSF8","ENSG00000106952","TNFSF8"
"TNFSF9","TNFSF9","ENSG00000125657","TNFSF9"
"TNIK","TNIK","ENSG00000154310","TNIK"
"TNIP1","TNIP1","ENSG00000145901","TNIP1"
"TNIP2","TNIP2","ENSG00000168884","TNIP2"
"TNIP3","TNIP3","ENSG00000050730","TNIP3"
"TNK1","TNK1","ENSG00000174292","TNK1"
"TNK2","TNK2","ENSG00000061938","TNK2"
"TNKS","TNKS","ENSG00000173273","TNKS"
"TNKS1BP1","TNKS1BP1","ENSG00000149115","TNKS1BP1"
"TNKS2","TNKS2","ENSG00000107854","TNKS2"
"TNKS2-AS1","TNKS2-AS1","ENSG00000228701","TNKS2-AS1"
"TNMD","TNMD","ENSG00000000005","TNMD"
"TNN","TNN","ENSG00000120332","TNN"
"TNNC1","TNNC1","ENSG00000114854","TNNC1"
"TNNC2","TNNC2","ENSG00000101470","TNNC2"
"TNNI1","TNNI1","ENSG00000159173","TNNI1"
"TNNI2","TNNI2","ENSG00000130598","TNNI2"
"TNNI3","TNNI3","ENSG00000129991","TNNI3"
"TNNI3K","TNNI3K","ENSG00000116783","TNNI3K"
